Word,TF_Matrix_Avg,DF_Vector,IDF_Vector,TF_IDF_Manual
a,0.271264367816092,199,2.4701758451005924,0.6700706890157916
about,0.04597701149425287,37,4.130907051922243,0.18992676100791908
caveman,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
conversation,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
dad,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
ever,0.006896551724137931,6,5.822583062593316,0.04015574525926425
have,0.05862068965517241,49,3.856470206220483,0.22606894312326958
infuriating,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
is,0.21379310344827587,163,2.668626783824431,0.5705340020590172
most,0.017241379310344827,15,4.995904489408848,0.08613628430015256
my,0.059770114942528735,50,3.8366675789243034,0.22931806218857917
pointless,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
the,0.4528735632183908,300,2.0613829468997538,0.9335458403201132
thing,0.010344827586206896,9,5.465908118654584,0.05654387708953017
to,0.3080459770114943,227,2.3391475826941885,0.7205650024851047
trying,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
vegetarianism,0.01264367816091954,11,5.283586561860629,0.0668039680235252
with,0.08160919540229886,67,3.5489855064725226,0.28962985167764244
alt,0.016091954022988506,14,5.060443010546419,0.08143241626166653
at,0.054022988505747126,45,3.9398518151595345,0.21284256932471032
israel,0.014942528735632184,12,5.203543854187092,0.07775410356831286
latestnews,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
nativeamerican,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
newmexico,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
of,0.22988505747126436,180,2.5699961803828035,0.5908037196282324
palestine,0.010344827586206896,8,5.5712686343124105,0.057633813458404244
politics,0.004597701149425287,4,6.159055299214529,0.028317495628572546
protesting,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
right,0.03218390804597701,28,4.401197381662156,0.14164773182360965
rise,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
and,0.19195402298850575,149,2.7578579175523736,0.5293819221048806
are,0.07701149425287357,61,3.641358826603538,0.28042648434762907
gentleman,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
guy,0.009195402298850575,8,5.5712686343124105,0.05123005640747044
pence,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
president,0.020689655172413793,17,4.878121453752465,0.10092665076729239
stand,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
up,0.035632183908045977,31,4.3027573088489035,0.15331663974059298
user,0.6551724137931034,347,1.916290731874155,1.2555008243313377
vice,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
you,0.12413793103448276,89,3.268683541318364,0.4057676120257275
blocked,0.0022988505747126436,1,7.075346031088684,0.016265163289859046
by,0.05057471264367816,43,3.984303577730368,0.2015050085288923
flynn,0.0034482758620689655,2,6.66988092298052,0.022999589389588
he,0.047126436781609195,39,4.079613757534693,0.1922576598378419
isn,0.005747126436781609,5,5.976733742420574,0.034349044496669964
like,0.0367816091954023,32,4.271985650182149,0.15713050667336634
looks,0.005747126436781609,5,5.976733742420574,0.034349044496669964
me,0.034482758620689655,27,4.436288701473425,0.1529754724646009
pleased,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
t,0.12528735632183907,103,3.1241023125072567,0.39141051961297857
too,0.016091954022988506,13,5.129435882033371,0.0825426463775485
